title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Cladun Returns: This Is Sengoku!,PSV,action,2017-05-26,Nippon Ichi Software,Nippon Ichi Software,0.02,NA,NA,0.02,NA
Samurai & Dragons,PSV,action,2012-05-24,Sega,Sega,0.02,NA,NA,0.02,NA
Silent Bomber,PS,action,2000-02-29,Bandai,CyberConnect2,0.02,0.01,0.01,NA,0
Kujiragami no Tearstilla,PSV,action,2016-07-28,Piacci,Unknown,0.02,NA,NA,0.02,NA
Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,3DS,action,2011-12-01,Bandai,Bandai Namco Games,0.02,NA,NA,0.02,NA
Psychedelica of the Black Butterfly,PSV,action,2018-03-27,Aksys Games,Otomate,0.02,NA,NA,0.02,NA
Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days,PS2,action,2010-05-27,Russel,Russel,0.02,NA,NA,0.02,NA
Garfield Gets Real,DS,action,2009-07-21,Unknown,PAWS,0.02,NA,0.02,NA,0
Fist of the North Star: Ken's Rage 2,WiiU,action,2013-02-07,Tecmo Koei,Koei,0.02,NA,NA,0.02,NA
Dragon Ball Z: Buu's Fury / Dragon Ball GT: Transformation,GBA,action,2006-03-29,Atari,Webfoot Technologies,0.02,0.01,0.01,NA,0
Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,PSV,action,2018-02-15,Sega,Sega CS3,0.02,NA,NA,0.02,NA
Shaq-Fu: A Legend Reborn,PS4,action,2018-06-05,Wired Productions,Big Deez Productions,0.02,0.02,NA,NA,0
Shaq-Fu: A Legend Reborn,NS,action,2018-06-05,Wired Productions,Big Deez Productions,0.02,0.02,NA,NA,0
Chuck E. Cheese's Super Collection,Wii,action,2011-09-07,UFO Interactive,UFO Interactive,0.02,0.02,NA,NA,0
Downtown Nekketsu Jidaigek,3DS,action,2015-05-28,Arc System Works,Unknown,0.02,NA,NA,0.02,NA
Monster Hunter Frontier Z: Beginner's Package,PS4,action,2016-11-22,Capcom,Unknown,0.02,NA,NA,0.02,NA
Battle Princess of Arcadias,PS3,action,2014-06-17,NIS America,Apollo,0.02,NA,NA,0.02,NA
Dragon's Dogma Online: Season 2,PS3,action,2016-06-30,Capcom,Unknown,0.02,NA,NA,0.02,NA
Uchuu Keiji Tamashii: The Space Sheriff Spirits,PS2,action,2006-05-25,Namco Bandai,Digifloyd,0.02,NA,NA,0.02,NA
Troll and I,XOne,action,2017-03-21,Maximum Games,Spiral House,0.02,0.02,NA,NA,0
Red Dead Redemption: Game of the Year Edition,PS3,action,2011-10-11,Rockstar Games,Rockstar San Diego,0.02,NA,0.01,NA,0
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,PS3,action,2015-09-25,Namco Bandai Games,Unknown,0.02,NA,NA,0.02,NA
Date-A-Live Twin Edition: Rio Reincarnation,PSV,action,2015-07-30,Compile Heart,Unknown,0.02,NA,NA,0.02,NA
Natsuiro High School: Seishun Hakusho,PS4,action,2015-06-04,D3Publisher,Unknown,0.02,NA,NA,0.02,NA
Past Cure,XOne,action,2018-02-23,Phantom 8 Studio,Phantom 8 Studio,0.02,0.02,NA,NA,0
Digimon Universe: Appli Monsters,3DS,action,2016-12-01,Namco Bandai Games,Bandai Namco Games,0.02,NA,NA,0.02,NA
Lara Croft and the Temple of Osiris,PC,action,2014-12-09,Square Enix,Crystal Dynamics,0.02,NA,0.02,NA,0
Charlie's Angels,GC,action,2003-07-09,Ubisoft,Neko Entertainment,0.02,0.01,0,NA,0
Shaq-Fu: A Legend Reborn,XOne,action,2018-06-05,Wired Productions,Big Deez Productions,0.02,0.02,NA,NA,0
Teenage Mutant Ninja Turtles Double Pack,GBA,action,2006-06-06,Konami,Konami,0.02,0.01,0,NA,0
Natsuiro High School: Seishun Hakusho,PS3,action,2015-06-04,D3Publisher,Unknown,0.02,NA,NA,0.02,NA
Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,action,2007-10-25,Marvelous Interactive,Marvelous Interactive,0.02,NA,NA,0.02,NA
The Mummy,GBA,action,2002-11-20,Ubisoft,Ubisoft,0.02,0.01,0,NA,0
The Crow: City of Angels,PS,action,1997-02-28,Acclaim Entertainment,Gray Matter,0.02,0.01,0.01,NA,0
Mini Ninjas,PC,action,2009-09-08,Eidos Interactive,IO Interactive,0.02,NA,0.02,NA,0
Paranormal Pursuit: The Gifted One,PC,action,2015-08-07,Alawar Entertainment,Big Fish Games,0.02,NA,0.02,NA,0
Eve: Burst Error R,PSV,action,2016-04-28,Red Flagship,Unknown,0.02,NA,NA,0.02,NA
My Hero: Doctor,DS,action,2009-11-17,Majesco,Game Life / Dream On Studio,0.02,0.02,NA,NA,0
Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,action,2010-10-21,Takara Tomy,Takara Tomy,0.02,NA,NA,0.02,NA
SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,DS,action,2010-12-02,Namco Bandai,Bandai Namco Games,0.02,NA,NA,0.02,NA
Red Ninja: End of Honor,XB,action,2005-03-29,VU Games,Tranji,0.02,0.01,0,NA,0
Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,action,2006-04-27,Sega,Sega,0.02,NA,NA,0.02,NA
Kong: The Animated Series,GBA,action,2002-08-20,BAM! Entertainment,Planet Interactive,0.02,0.01,0,NA,0
Saints Row: Gat out of Hell,XOne,action,2015-01-20,Deep Silver,Volition Inc.,0.02,NA,0.02,NA,0
Higurashi no Naku Koro ni Iki,PS3,action,2015-03-12,Kaga Create,Unknown,0.02,NA,NA,0.02,NA
Mega Man Legacy Collection 2,XOne,action,2017-08-08,Capcom,Capcom,0.02,0.02,NA,NA,0
Rising Zan: The Samurai Gunman,PS,action,1999-09-30,Agetec,UEP Systems,0.02,0.01,0.01,NA,0
Ben 10 Omniverse 2,3DS,action,2013-11-05,D3 Publisher,1st Playable Productions,0.02,NA,0.02,NA,0
Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,action,2008-11-20,Marvelous Interactive,Marvelous Interactive,0.02,NA,NA,0.02,NA
Norn + Nonette: Last Era,PSV,action,2015-04-02,Idea Factory,Unknown,0.02,NA,NA,0.02,NA
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,PS3,action,2015-06-25,Namco Bandai Games,Unknown,0.02,NA,NA,0.02,NA
Tom Clancy's Splinter Cell Classic Trilogy HD,PSN,action,2011-06-21,Ubisoft,Ubisoft,0.02,0.02,NA,NA,0
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,PS3,action,2015-07-23,Namco Bandai Games,Unknown,0.02,NA,NA,0.02,NA
Final Fight: Streetwise,XB,action,2006-02-28,Capcom,Secret Level,0.02,0.01,0,NA,0
Nano Diver,PSP,action,2011-09-01,Takara Tomy,Takara Tomy,0.02,NA,NA,0.02,NA
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,action,2015-08-27,Namco Bandai Games,Unknown,0.02,NA,NA,0.02,NA
Gaist Crusher God,3DS,action,2014-09-04,Capcom,Capcom,0.02,NA,NA,0.02,NA
"Warhammer 40,000: Inquisitor - Martyr",XOne,action,2018-08-28,Neocore Games,Neocore Games,0.02,0.02,NA,NA,0
Tomb Raider: Legend,PC,action,2006-04-11,Eidos Interactive,Crystal Dynamics,0.02,NA,0.02,NA,0
Silent Hill: Book of Memories,PSV,action,2012-10-16,Konami Digital Entertainment,WayForward,0.02,NA,0.01,NA,0
Vikings: Wolves of Midgard,PC,action,2017-03-28,Kalypso Media,Games Farm,0.02,0.01,0,NA,0
One Piece Mansion,PS,action,2001-09-30,Capcom,Capcom,0.02,0.01,0.01,NA,0
Soul Eater: Monotone Princess,Wii,action,2008-09-25,Square Enix,Square Enix / Bones,0.02,NA,NA,0.02,NA
Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,action,2006-08-08,Crave Entertainment,DC Studios,0.02,0.01,0,NA,0
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,action,2010-12-02,Hudson Soft,Hudson Soft,0.02,NA,NA,0.02,NA
Vikings: Wolves of Midgard,XOne,action,2017-03-28,Kalypso Media,Games Farm,0.02,0.01,NA,NA,0
Big Bass Fishing,PS,action,2002-05-02,Take-Two Interactive,Unknown,0.02,NA,NA,0.02,0
Irritating Stick,PS,action,1999-01-31,Jaleco,Saurus,0.02,0.01,0.01,NA,0
Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,action,2015-04-30,5pb,Unknown,0.02,NA,NA,0.02,NA
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,action,2006-08-10,D3 Publisher,Ride On,0.02,NA,NA,0.02,NA
Zombie Hunters 2,PS2,action,2007-06-29,Essential Games,Tamsoft,0.02,NA,NA,0.02,NA
Just Cause,PC,action,2006-09-27,Eidos Interactive,Avalanche Studios,0.02,NA,0.01,NA,0
Samurai Jack: The Shadow of Aku,GC,action,2004-03-24,Sega,Adrenium,0.02,0.01,0,NA,0
Lost: Via Domus,PC,action,2008-02-26,Ubisoft,Ubisoft Montreal,0.02,NA,0.01,NA,0
Busou Renkin: Youkoso Papillon Park e,PS2,action,2007-06-28,Marvelous Interactive,Marvelous Interactive,0.02,NA,NA,0.02,NA
Pirates PlundArrr,Wii,action,2010-05-25,Majesco,Boomzap,0.02,0.02,NA,NA,0
Zoey 101: Field Trip Fiasco,DS,action,2007-09-11,THQ,THQ,0.02,0.02,NA,NA,0
Marvel Superheroes 3D: Grandmaster's Challenge,Wii,action,2010-11-26,Neko Entertainment,Bigben Interactive,0.02,NA,0.01,NA,0
Usavichi: Game no Jikan,DS,action,2011-12-08,Bandai,Bandai Namco Games,0.02,NA,NA,0.02,NA
Dark Void,PC,action,2010-01-19,Capcom,Airtight Games,0.02,NA,0.01,NA,0
Fortnite,PC,action,2017-07-21,Epic Games,Epic Games,0.02,NA,0.02,NA,0
Nights of Azure 2,PSV,action,2017-08-31,Tecmo Koei,Gust,0.02,NA,NA,0.02,NA
Shin Sangoku Musou Online: Souten Ranbu,PS3,action,2010-11-11,Tecmo Koei,Tecmo Koei Games,0.02,NA,NA,0.02,NA
Dinotopia: The Sunstone Odyssey,GC,action,2003-07-23,TDK Mediactive,Vicious Cycle,0.02,0.01,0,NA,0
Meiji Toukyou Renka: Twilight Kiss,PSP,action,2015-04-23,Broccoli,Unknown,0.02,NA,NA,0.02,NA
LEGO Star Wars: The Video Game,PC,action,2005-04-02,Eidos Interactive,Traveller's Tales,0.02,NA,0.01,NA,0
Mission: Impossible - Operation Surma,GC,action,2004-03-23,Atari,Paradigm Entertainment,0.02,0.01,0,NA,0
Yuu Yuu Hakusho DS: Ankoku Bujutsukai Hen,DS,action,2006-09-21,Takara Tomy,Takara Tomy,0.02,NA,NA,0.02,NA
Games Explosion!,GBA,action,2006-08-15,THQ,FrontLine Studios,0.02,0.01,0,NA,0
Pharaonic,PS4,action,2017-09-29,Soedesco,Milkstone Studios,0.02,0.01,NA,NA,0
White Day: A Labyrinth Named School (2017),PS4,action,2017-08-29,PQube,ROIGAMES Inc.,0.02,NA,0.01,0.01,0
LEGO Star Wars II: The Original Trilogy,PC,action,2006-09-12,LucasArts,Traveller's Tales,0.02,NA,0.01,NA,0
Katekyoo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,DS,action,2008-12-04,Takara Tomy,Takara Tomy,0.02,NA,NA,0.02,NA
Durarara!! Relay,PSV,action,2015-01-29,Kadokawa Games,Unknown,0.02,NA,NA,0.02,NA
Just Cause,PS2,action,2006-09-27,Eidos Interactive,Avalanche Studios,0.02,0.01,0.01,NA,0
Girl Friend Beta: Kimi to Sugosu Natsuyasumi,PSV,action,2015-11-19,Namco Bandai Games,Unknown,0.02,NA,NA,0.02,NA
Yoku's Island Express,XOne,action,2018-06-19,Villa Gorilla,Villa Gorilla,0.02,0.01,NA,NA,0
Blackthorne,GBA,action,2003-09-17,Blizzard Entertainment,Mass Media,0.01,0.01,0,NA,0
Black Cat,PS2,action,2006-03-30,Capcom,Capcom,0.01,NA,NA,0.01,NA
Construction Simulator 2015,PC,action,NA,Unknown,Unknown,0.01,NA,0.01,NA,0
Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),PSP,action,2006-09-12,Konami,Neverland,0.01,NA,NA,0.01,NA
Kaitou Rousseau,DS,action,2006-06-15,Namco,Namco,0.01,NA,NA,0.01,NA
Let It Die,PS4,action,2020-12-31,GungHo,Grasshopper Manufacture,0.01,NA,0.01,0.01,0
Unbox: Newbie's Adventure,NS,action,2017-11-01,Merge Games,Prospect Games,0.01,NA,0.01,NA,0
Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,3DS,action,2015-06-25,Bandai Namco Games,Bandai Namco Games,0.01,NA,NA,0.01,NA
Aquaman: Battle for Atlantis,XB,action,2003-07-30,TDK Mediactive,Lucky Chicken,0.01,0.01,0,NA,0
Barbie and Her Sisters Puppy Rescue,WiiU,action,2015-11-03,Little Orbit,Torus Games,0.01,NA,0.01,NA,0
Infinite Stratos 2: Love and Purge,PSV,action,2015-09-03,5pb,Unknown,0.01,NA,NA,0.01,NA
Grand Theft Auto III,PC,action,2002-05-20,Rockstar Games,DMA Design,0.01,NA,0.01,NA,0
Bullet Girls: Phantasia,PSV,action,2018-08-09,D3 Publisher,Shade,0.01,NA,NA,0.01,NA
Aeon Flux,XB,action,2005-11-17,Majesco,Terminal Reality,0.01,0.01,0,NA,0
Yoku's Island Express,PS4,action,2018-06-19,Villa Gorilla,Villa Gorilla,0.01,0.01,NA,NA,0
Monkey Madness: Island Escape,DS,action,2010-03-23,Storm City Games,Storm City Games,0.01,0.01,NA,NA,0
Axiom Verge,PSV,action,2015-03-31,Thomas Happ Games,Thomas Happ Games,0.01,0.01,NA,NA,0
Resident Evil 4,PC,action,2007-05-15,Ubisoft,SourceNext,0.01,NA,0.01,NA,0
Irotoridori no Sekai: World's End Re-Birth,PSV,action,2015-03-19,HuneX,Unknown,0.01,NA,NA,0.01,NA
Chokkan! Asonde Relaxuma,DS,action,2008-09-25,Rocket Company,Rocket Company,0.01,NA,NA,0.01,NA
SoulCalibur Legends (JP sales),Wii,action,2007-11-20,Namco Bandai,Project Soul,0.01,NA,NA,0.01,NA
Bratz: Forever Diamondz,PS2,action,2006-09-18,THQ,Blitz Games,0.01,0.01,0.01,NA,0
Order Up!!,3DS,action,2012-08-31,Ignition Entertainment,SuperVillain Studios,0.01,0,0.01,NA,0
San-X Character Channel: All-Star Daishuugou!,DS,action,2008-08-28,MTO,MTO,0.01,NA,NA,0.01,NA
Fuun Shinsengumi Bakumatsuden Portable,PSP,action,2013-12-31,Unknown,From Software,0.01,0.01,NA,NA,0
Legend of Kay Anniversary,WiiU,action,2015-07-28,Nordic Games,Nordic Games,0.01,NA,0.01,NA,0
Double Pack Tomb Raider: Legend / Anniversary,PSP,action,2009-04-09,Eidos Interactive,Buzz Monkey / Crystal Dynamics,0.01,NA,0.01,NA,0
Spider-Man: Friend or Foe,PC,action,2007-10-02,Activision,Beenox,0.01,0.01,0,NA,0
Sengoku Basara 2 Heroes,Wii,action,2007-11-29,Capcom,Capcom,0.01,NA,NA,0.01,NA
Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,action,2006-06-27,D3 Publisher,Sensory Sweep Studios,0.01,0.01,NA,NA,0
Aquaman: Battle for Atlantis,GC,action,2003-07-23,TDK Mediactive,Lucky Chicken,0.01,0.01,0,NA,0
Fate/kaleid liner Prisma Illya,3DS,action,2014-07-31,Kadokawa Games,Kadokawa Games,0.01,NA,NA,0.01,NA
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,action,2008-07-10,D3 Publisher,Tomcat System,0.01,NA,NA,0.01,NA
Slide Adventure: Mag Kid,DS,action,2007-08-02,Nintendo,Agenda,0.01,NA,NA,0.01,NA
Rainbow Islands: Revolution,PSP,action,2008-01-22,Codemasters,Ignition Entertainment,0.01,0.01,0,NA,0
Titan Quest,NS,action,2018-07-31,THQ Nordic,Iron Lore Entertainment,0.01,0.01,NA,NA,0
Nari Kids Park: Hugtto! PreCure,NS,action,2018-11-21,Bandai Namco Games,Bandai Namco Games,0.01,NA,NA,0.01,NA
Young Justice: Legacy,X360,action,2013-11-19,Warner Bros. Interactive Entertainment,Freedom Factory Studios,0.01,NA,0.01,NA,0
Dinotopia: The Sunstone Odyssey,XB,action,2003-08-05,TDK Mediactive,Vicious Cycle,0.01,0.01,0,NA,0
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,action,2020-12-31,Namco Bandai Games,Namco Bandai Games,0.01,NA,NA,0.01,NA
Kenka Banchou Portable,PSP,action,2009-10-29,Spike,Spike,0.01,NA,NA,0.01,NA
Fallout Anthology,PC,action,2015-09-29,Bethesda Softworks,Bethesda Softworks,0.01,NA,0.01,NA,0
Monster High: New Ghoul in School,Wii,action,2015-10-27,Little Orbit,Torus Games,0.01,NA,0.01,NA,0
"Crouching Tiger, Hidden Dragon",XB,action,2003-12-09,Ubisoft,Genki,0.01,0.01,0,NA,0
Winx Club: Saving Alfea,3DS,action,2014-10-31,Namco Bandai Games,Little Orbit,0.01,NA,0.01,NA,0
Has-Been Heroes,PC,action,2017-03-28,GameTrust,Frozenbyte,0.01,0.01,NA,NA,0
Warriors Orochi 3,NS,action,2017-11-09,Tecmo Koei,Omega Force,0.01,NA,NA,0.01,NA
San-X: Chara Sagashi Land,DS,action,2007-04-19,MTO,MTO,0.01,NA,NA,0.01,NA
Tenchu San Portable,PSP,action,2009-08-27,From Software,From Software,0.01,NA,NA,0.01,NA
The Wild West,DS,action,2007-08-28,Majesco,Happy Happening,0.01,0.01,NA,NA,0
Teenage Mutant Ninja Turtles (3DS),3DS,action,2013-10-22,Activision,Magic Pockets,0.01,0.01,NA,NA,0
The Godfather (JP sales),X360,action,2006-09-19,Electronic Arts,Headgate,0.01,NA,NA,0.01,NA
Shin Sangoku Musou 4 Special,X360,action,2005-12-22,KOEI,Omega Force,0.01,NA,NA,0.01,NA
Assassin's Creed Chronicles,XOne,action,2016-02-09,Ubisoft,Climax Studios,0.01,NA,0.01,NA,0
Madagascar: Escape 2 Africa,PC,action,2008-11-04,Activision,Aspyr,0.01,0.01,NA,NA,0
Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,action,2008-11-20,Marvelous Interactive,Marvelous Interactive,0.01,NA,NA,0.01,NA
Zombi,XOne,action,2016-01-21,Ubisoft,Ubisoft Montpellier,0.01,NA,0.01,NA,0
Transformers: Fall of Cybertron,PC,action,2012-08-21,Activision,High Moon Studios,0.01,0.01,0,NA,0
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,action,2015-06-25,Idea Factory,Unknown,0.01,NA,NA,0.01,NA
Minds and Mystery: 5 Game Pack,PC,action,2014-09-26,Focus Multimedia,Focus Multimedia,0.01,NA,0.01,NA,0
This War of Mine,XOne,action,2016-01-29,11 bit studios,11 bit studios,0.01,NA,0.01,NA,0
Deception IV: The Nightmare Princess,PSV,action,2015-07-14,Tecmo Koei,Koei Tecmo Games,0.01,NA,0.01,NA,0
Hirameki Action: Chibikko Wagyan no Daiki na Bouken,DS,action,2009-01-29,Namco Bandai,Namco Bandai Games,0.01,NA,NA,0.01,NA
Mushibugyo,3DS,action,2013-09-19,Namco Bandai Games,Namco Bandai Games,0.01,NA,NA,0.01,NA
Hakuoki: Reimeiroku - Omouhase Kara,PSV,action,2015-07-02,Idea Factory,Unknown,0.01,NA,NA,0.01,NA
E.T. The Extra-Terrestrial,GBA,action,2001-12-14,NewKidCo,Fluid Studios,0.01,0.01,0,NA,0
Original Frisbee Disc Sports: Ultimate & Golf,DS,action,2007-09-18,"Destination Software, Inc",Unknown,0.01,0.01,NA,NA,0
Carmageddon 64,N64,action,1999-12-05,Titus,SCi,0.01,0.01,NA,NA,0
Planet Monsters,GBA,action,2001-12-06,Titus,Planet Interactive,0.01,0.01,0,NA,0
Zombie Vikings,PS4,action,2016-04-20,Rising Star Games,Zoink Games,0.01,NA,0.01,NA,0
Yunohana Spring!,PSV,action,2015-09-17,Idea Factory,Unknown,0.01,NA,NA,0.01,NA
Deformers,PC,action,2017-04-21,Ready at Dawn,Ready at Dawn,0.01,0.01,NA,NA,0
Secret Game: Killer Queen,PS2,action,2008-08-21,Yeti,Yeti,0.01,NA,NA,0.01,NA
Metal Gear Solid: Peace Walker HD Edition,X360,action,NA,Unknown,Kojima Productions,0.01,NA,NA,0.01,NA
Ayakashi Gohan: Oomori!,PSV,action,2015-10-08,honeybee,Unknown,0.01,NA,NA,0.01,NA
Possession Magenta,PSV,action,2015-05-28,Unknown,Unknown,0.01,NA,NA,0.01,NA
CharadeManiacs,PSV,action,2018-08-09,Idea Factory,Otomate,0.01,NA,NA,0.01,NA
Soul Eater: Battle Resonance,PS2,action,2009-01-29,Namco Bandai,Bec,0.01,NA,NA,0.01,NA
Mist of Chaos,PS3,action,2007-03-22,Idea Factory,Idea Factory,0.01,NA,NA,0.01,NA
Witch Hunters: Stolen Beauty,PC,action,2015-05-08,Big Fish Games,Big Fish Games,0.01,NA,0.01,NA,0
Marvel Disk Wars: Avengers - Ultimate Heroes,3DS,action,2014-11-13,Namco Bandai Games,Namco Bandai Games,0.01,NA,NA,0.01,NA
Barbie and Her Sisters Puppy Rescue,PS3,action,2015-11-03,Little Orbit,Little Orbit,0.01,NA,0.01,NA,0
The Surge,PC,action,2017-05-16,Focus Home Interactive,DECK13 Interactive,0.01,NA,0.01,NA,0
Bound By Flame,X360,action,2014-05-07,Focus Home Interactive,Spiders,0.01,NA,0.01,NA,0
Big Hero 6: Battle in the Bay,DS,action,2014-10-28,GameMill,GameMill,0.01,NA,0.01,NA,0
Monster Radar,PSV,action,2011-12-17,Sony Computer Entertainment,Sony Marketing,0.01,NA,NA,0.01,NA
Shugo Chara! Norinori! Chara-Nari Zumu,DS,action,2009-08-06,Konami,Konami,0.01,NA,NA,0.01,NA
Bruce Lee: Return of the Legend,GBA,action,2003-03-28,Vivendi Games,Vicarious Visions,0.01,0.01,0,NA,0
WarTech: Senko no Ronde (JP sales),X360,action,2007-05-29,Ubisoft,G.Rev,0.01,NA,NA,0.01,NA
Sumioni,PSV,action,NA,Unknown,Acquire,0.01,NA,NA,0.01,NA
GoGo's Crazy Bones,DS,action,2012-03-28,GameMill Entertainment,"Black Lantern Studios, Inc.",0.01,NA,0.01,NA,0
Stolen,PC,action,2005-04-22,Hip Interactive,Blue 52,0.01,NA,0.01,NA,0
Bob the Builder: Festival of Fun,Wii,action,2009-05-22,Blast! Entertainment Ltd,Blast! Entertainment Ltd,0.01,NA,0.01,NA,0
Zettai Geigeki Wars,PSV,action,2015-07-02,Acquire,Unknown,0.01,NA,NA,0.01,NA
Yoku's Island Express,NS,action,2018-06-19,Villa Gorilla,Villa Gorilla,0.01,0.01,NA,NA,0
LEGO Marvel's Avengers,PC,action,2016-01-26,Warner Bros. Interactive Entertainment,Traveller's Tales,0.01,NA,0.01,NA,0
James Bond 007: Blood Stone,PC,action,2010-11-02,Activision,Bizarre Creations,0.01,0.01,NA,NA,0
Gal Gun: Double Peace,PS4,action,2016-08-02,PQube,Inti Creates,0.01,NA,NA,0.01,NA
Zorro: Quest For Justice,DS,action,2010-02-12,505 Games,505 Games,0.01,0.01,NA,NA,0
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,action,2018-11-29,M2,M2,0.01,NA,NA,0.01,NA
KLAP!! Kind Love And Punish,PSV,action,2015-07-30,Idea Factory,Unknown,0.01,NA,NA,0.01,NA
Hugo: The Evil Mirror,GBA,action,2005-04-24,Namco,ITE Media,0.01,0.01,0,NA,0
Painkiller: Hell & Damnation,PC,action,2012-10-31,Nordic Games,The Farm 51,0.01,NA,0.01,NA,0
The Escapists,PC,action,2014-08-20,Team17 Software,Mouldy Toof Studios,0.01,NA,0.01,NA,0
Genji Koi Emaki,PSV,action,2015-09-17,Quinrose,Unknown,0.01,NA,NA,0.01,NA
Teikoku Kaigun Renbojou: Meiji Yokosuka Koushinkyoku,PSV,action,2015-09-25,D3Publisher,Unknown,0.01,NA,NA,0.01,NA
Brave: Shaman's Challenge,DS,action,NA,Unknown,Collision Studios,0.01,0.01,NA,NA,0
Woodcutter Simulator 2016,PS4,action,2015-02-26,Namco Bandai Games,Unknown,0.01,NA,0.01,NA,0
Disney Universe,PC,action,2011-10-25,Disney Interactive Studios,Disney Interactive Studios,0.01,0.01,NA,NA,0
Hallowed Legends: Templar,PC,action,2015-05-08,Big Fish Games,Elephant Games,0.01,NA,0.01,NA,0
Jyuzaengi: Engetsu Sangokuden 1 + 2,PSV,action,2015-08-27,Idea Factory,Unknown,0.01,NA,NA,0.01,NA
Live-On DS,DS,action,2009-08-20,Acquire,Acquire,0.01,NA,NA,0.01,NA
Sugar Sugar Rune: Queen Shiken wa Dai Panic,DS,action,2006-05-25,Bandai,Bandai Namco Games,0.01,NA,NA,0.01,NA
PAIN,PS3,action,2009-06-24,Sony Computer Entertainment,Idol Minds Digital,0.01,NA,0.01,NA,0
Boulder Dash-XL,PC,action,2011-08-05,Kalypso,Catnip Games,0.01,NA,0.01,NA,0
Hokuto no Ken: Raoh Gaiden - Ten no Haoh,PSP,action,2009-01-22,Interchannel,Interchannel,0.01,NA,NA,0.01,NA
Inugamike no Ichizoku,DS,action,2009-01-22,From Software,From Software,0.01,NA,NA,0.01,NA
Darksiders III,PC,action,2018-11-27,THQ Nordic,Gunfire Games,0.01,NA,0.01,NA,0
Styx: Shards of Darkness,PC,action,2017-03-14,Focus Home Interactive,Cyanide Studio,0.01,NA,0.01,NA,0
Fabled Legends: The Dark Piper,PC,action,2014-11-24,Big Fish Games,Big Fish Games,0.01,NA,0.01,NA,0
Magus,PS3,action,2014-02-28,Aksys Games,Black Tower Studios,0.01,0.01,NA,NA,0
Saints Row: Gat out of Hell,PS3,action,2015-01-20,Deep Silver,Volition Inc.,0.01,NA,0.01,NA,0
Lucius,PC,action,2012-06-30,Lace Mamba Global,Shiver Games,0.01,NA,0.01,NA,0
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,PSV,action,2015-07-30,Spike Chunsoft,Spike Chunsoft,0.01,NA,NA,0.01,NA
Nanairo Reincarnation,PSV,action,2015-09-17,Silky`s,Unknown,0.01,NA,NA,0.01,NA
Touch Detective Funghi Rhythm,3DS,action,2014-11-13,Success,Success,0.01,NA,NA,0.01,NA
Mad Max (2013),PC,action,2015-09-01,Warner Bros. Interactive Entertainment,Avalanche Studios,0.01,NA,0.01,NA,0
Winx Club: Saving Alfea,DS,action,2014-11-11,Little Orbit,Little Orbit,0.01,0.01,0,NA,0
Bound By Flame,PS3,action,2014-05-07,Focus Home Interactive,Spiders,0.01,NA,0.01,NA,0
One Piece: Unlimited World Red Deluxe Edition,PS4,action,2017-08-25,Namco Bandai Games,Ganbarion,0.01,NA,NA,0.01,NA
Gegege no Kitarou: Youkai Daiundoukai,Wii,action,2007-11-22,Bandai,Bandai,0.01,NA,NA,0.01,NA
Ultimate Spider-Man,PC,action,2005-09-22,Activision,Beenox,0.01,0.01,NA,NA,0
Vamwolf Cross,PSV,action,2015-07-23,D3Publisher,Unknown,0.01,NA,NA,0.01,NA
Tokyo Onmyouji: Tengen Jibashi - Rei no Baai - V Edition,PSV,action,2015-09-17,Dramatic Create,Unknown,0.01,NA,NA,0.01,NA
Darius Burst: Chronicle Saviours,PS4,action,2017-03-30,Kadokawa Games,Pyramid,0.01,NA,NA,0.01,NA
Devil May Cry 3: Dante's Awakening Special Edition,PC,action,2006-10-16,Ubisoft,Capcom,0.01,NA,0.01,NA,0
